Timestamp,Have you purchased or are you currently looking to purchase a home?,Scarcity Messaging [Marketing messages showing limited real estate availability make me feel the opportunity may end soon.],"Scarcity Messaging [When a property or unit is advertised as scarce, I feel more motivated to consider it.]",Scarcity Messaging [Messages stating that few units remain increase my interest in the offer.],Scarcity Messaging [Seeing a property promoted as “limited” makes me think it will sell out quickly.],Perceived Urgency [Time-sensitive real estate offers make me feel pressured to make a faster decision.],Perceived Urgency [I feel I might lose the opportunity of buying a property if I do not act quickly.],Perceived Urgency [Marketing messages with deadlines in the real estate industry increase my sense of urgency.],Perceived Urgency [Urgent real estate promotions make me accelerate my decision-making process.],Purchase Intention [I am likely to purchase a property when an offer appears favorable.],"Purchase Intention [If I believe the opportunity of buying a desired property might disappear, I am more willing to commit financially.]",Purchase Intention [I am willing to make a booking or reservation if a “good” offer is available.],Purchase Intention [Scarcity or urgency messages in real estate increase my intention to take purchase-related action.],Age,Gender,Education Level,Education
11/18/2025 23:09,Yes,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,56,Male,Master,Bachelor?s Degree
11/18/2025 20:29,Yes,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,51,Male,Bachelor,Bachelor?s Degree
11/18/2025 20:25,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,54,Male,Other,Master?s Degree
11/18/2025 16:56,Yes,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,37,Male,Doctorate,Bachelor?s Degree
11/18/2025 13:48,Yes,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,36,Male,Other,Bachelor?s Degree
11/18/2025 12:20,Yes,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,63,Male,Master,Bachelor?s Degree
11/18/2025 11:21,Yes,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,43,Male,Bachelor,Bachelor?s Degree
11/18/2025 10:24,Yes,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,53,Male,Master,Bachelor?s Degree
11/18/2025 9:34,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,41,Male,Master,Bachelor?s Degree
11/18/2025 8:47,Yes,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,60,Male,Bachelor,Bachelor?s Degree
11/18/2025 7:51,Yes,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,54,Male,Doctorate,Bachelor?s Degree
11/18/2025 7:35,Yes,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,62,Male,Bachelor,Bachelor?s Degree
11/18/2025 7:32,Yes,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,26,Female,Doctorate,Bachelor?s Degree
11/18/2025 7:03,Yes,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,25,Male,Bachelor,Bachelor?s Degree
11/18/2025 6:34,Yes,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,41,Male,Bachelor,Bachelor?s Degree
11/18/2025 5:47,Yes,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,59,Male,Bachelor,Bachelor?s Degree
11/18/2025 4:25,Yes,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,37,Male,Bachelor,Bachelor?s Degree
11/17/2025 23:56,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,50,Male,Doctorate,Bachelor?s Degree
11/17/2025 20:28,Yes,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,49,Male,Other,Bachelor?s Degree
11/17/2025 19:04,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,48,Male,Bachelor,Bachelor?s Degree
11/17/2025 18:41,Yes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,27,Male,Doctorate,Bachelor?s Degree
11/17/2025 17:00,Yes,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,60,Male,Bachelor,Bachelor?s Degree
11/17/2025 15:42,Yes,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,30,Female,Doctorate,Bachelor?s Degree
11/17/2025 14:44,Yes,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,34,Female,Master,Bachelor?s Degree
11/17/2025 14:20,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,54,Male,Master,Bachelor?s Degree
11/17/2025 14:05,Yes,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,51,Female,Master,Bachelor?s Degree
11/17/2025 13:35,Yes,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,27,Male,Other,Bachelor?s Degree
11/17/2025 12:56,Yes,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,40,Male,Bachelor,Bachelor?s Degree
11/17/2025 12:41,Yes,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,40,Male,Master,Bachelor?s Degree
11/17/2025 12:00,Yes,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,55,Male,Other,Bachelor?s Degree
11/17/2025 10:12,Yes,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,56,Female,Other,Bachelor?s Degree
11/17/2025 8:53,Yes,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,64,Male,Other,Bachelor?s Degree
11/17/2025 8:23,Yes,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,51,Male,Doctorate,Bachelor?s Degree
11/17/2025 7:04,Yes,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,63,Male,Bachelor,Bachelor?s Degree
11/17/2025 7:01,Yes,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,61,Male,Master,Bachelor?s Degree
11/17/2025 5:36,Yes,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,55,Male,Other,Bachelor?s Degree
11/17/2025 5:05,Yes,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,45,Male,Bachelor,Bachelor?s Degree
11/17/2025 1:26,Yes,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,26,Male,Other,Bachelor?s Degree
11/17/2025 1:11,Yes,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,29,Male,Doctorate,Bachelor?s Degree
11/17/2025 0:56,Yes,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,29,Male,Bachelor,Bachelor?s Degree
11/17/2025 0:38,Yes,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,38,Male,Bachelor,Bachelor?s Degree
11/17/2025 0:37,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,38,Male,Master,Bachelor?s Degree
11/16/2025 23:44,Yes,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,36,Male,Master,Bachelor?s Degree
11/16/2025 23:06,Yes,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,49,Male,Master,Bachelor?s Degree
11/16/2025 18:30,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,55,Male,Doctorate,Bachelor?s Degree
11/16/2025 18:18,Yes,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,60,Male,Doctorate,Bachelor?s Degree
11/16/2025 17:39,Yes,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,64,Male,Bachelor,Bachelor?s Degree
11/16/2025 17:05,Yes,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,53,Male,Other,Bachelor?s Degree
11/16/2025 16:05,Yes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,32,Male,Doctorate,Bachelor?s Degree
11/16/2025 15:35,Yes,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,50,Male,Other,Bachelor?s Degree
11/16/2025 15:17,Yes,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,61,Male,Doctorate,Bachelor?s Degree
11/16/2025 13:45,Yes,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,50,Male,Other,Bachelor?s Degree
11/16/2025 10:11,Yes,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,60,Female,Bachelor,Bachelor?s Degree
11/16/2025 9:39,Yes,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,48,Male,Master,Bachelor?s Degree
11/16/2025 8:43,Yes,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,62,Male,Bachelor,Bachelor?s Degree
11/16/2025 7:49,Yes,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,50,Male,Bachelor,Bachelor?s Degree
11/16/2025 6:09,Yes,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,26,Female,Bachelor,Bachelor?s Degree
11/16/2025 6:05,Yes,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,29,Male,Other,Bachelor?s Degree
11/16/2025 5:39,Yes,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,35,Male,Bachelor,Bachelor?s Degree
11/16/2025 5:17,Yes,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,60,Male,Master,Bachelor?s Degree
11/16/2025 5:06,Yes,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,40,Male,Other,Bachelor?s Degree
11/16/2025 0:43,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,46,Male,Other,Bachelor?s Degree
11/15/2025 23:53,Yes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,34,Male,Doctorate,Bachelor?s Degree
11/15/2025 22:42,Yes,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,58,Female,Doctorate,Bachelor?s Degree
11/15/2025 21:35,Yes,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,48,Male,Bachelor,Bachelor?s Degree
